ROE,ROA,Leverage,Size,Growth,Y,Z1,Z21,Z22,X,ROE Norm,ROA Norm,Leverage Norm,Size Norm,Growt Norm,Y Norm,Z1 Norm,X Norm
0.2740,0.2038,0.3447,27.8965,0.3602,1.7445,0.3602,1,1,0.56,0.102354704761384,0.507778557224187,-0.00940160297268492,-0.62792438820898,0.0376671031371554,0.0196662039201877,-0.0145712427839907,0.228409788324821
0.2734,0.2218,0.2328,28.1291,0.2618,2.7609,0.1412,2,1,0.51,0.101945017869358,0.562909586886427,-0.0148180157946077,-0.507451991970156,0.00764253432511127,0.465236047800402,-0.0602321922509573,-0.0133412780978698
0.1025,0.0214,3.7876,31.0353,0.0621,0.9787,0.1547,4,2,0.69,-0.0128546222192724,-0.0508212866535475,0.157266003830774,0.997883180140344,-0.0533624301946412,-0.316079562043529,-0.0574209869801764,0.919170449861685
0.0973,0.0182,4.3430,31.2288,0.2135,1.0834,0.0000,1,1,0.84,-0.0163336027122175,-0.0606223585935012,0.184151529947207,1.0981128158451,-0.00712239551685715,-0.270183259632136,-0.089686384590486,1.71643989634878
0.0043,0.0006,5.8332,31.2711,0.0432,1.1924,0.0000,3,1,0.71,-0.0788343603711888,-0.114497625913434,0.256289202867943,1.12002348039451,-0.0591187678889763,-0.222371140604659,-0.089686384590486,1.00471743558261
0.0153,0.0022,6.0524,31.3174,0.0474,1.0468,0.2862,0,0,0.00,-0.0714196992433676,-0.109750231692519,0.26689886591362,1.14402679470231,-0.0578361886679574,-0.286224387774584,-0.0300076476303883,-2.65339190867807
0.0199,0.0044,3.5317,31.3196,0.0022,0.8811,0.0071,0,0,0.29,-0.0683504056424488,-0.102981366383988,0.144874428585839,1.14514045732125,-0.0716575066544618,-0.358863210456251,-0.088196801095548,-1.16183787835848
0.0044,0.0037,0.1888,28.6985,0.0019,0.4289,-0.0419,3,1,0.41,-0.0787067529785904,-0.104941580771979,-0.0169504046122473,-0.212548950648245,-0.0717277431356129,-0.557091045954729,-0.0984170633289914,-0.509559892292693
-0.1841,-0.1555,0.1841,28.6264,-0.0695,0.3725,-0.1414,4,2,0.66,-0.205347015864638,-0.592667423183924,-0.0171774398802321,-0.249874777774265,-0.0935468586931856,-0.581834453234307,-0.11917958919397,0.76982383987354
0.5897,0.2610,1.2600,30.6387,0.4688,3.9812,0.1839,1,1,0.32,0.314384461831417,0.68285020475161,0.03490609648015,0.792456455467735,0.0708523136009963,1.00023989389596,-0.0513406809504308,-0.986360833790769
0.0971,0.0592,0.6410,32.2766,0.1279,0.7706,0.1686,4,2,0.47,-0.0164880748190472,0.0648007338880935,0.00494276602715562,1.64085499822983,-0.033274796585444,-0.407293476263746,-0.0545183921020799,-0.213858967073691
0.1092,0.0603,0.8118,32.2394,-0.0365,0.9438,0.0819,3,1,0.82,-0.00834806640698255,0.068200480717265,0.013210432001382,1.62162230379201,-0.0834511279677363,-0.331362254775033,-0.072600737273055,1.58604026967275
0.0401,0.0248,0.6149,32.1310,-0.1028,0.8889,0.0000,4,2,0.37,-0.0547501440628854,-0.0403157626679097,0.00367833933211029,1.56543154988374,-0.103709772139736,-0.355439291057713,-0.089686384590486,-0.749366183106476
0.2307,0.1356,0.7018,32.3155,0.2027,1.0772,0.5702,3,1,0.81,0.0732602192489555,0.2988319548043,0.00788309058523579,1.66104078067642,-0.0104143488508059,-0.27291011989576,0.0292108376908121,1.55257118437605
0.4337,0.2626,0.6519,32.7646,0.5668,1.1207,1.0205,3,1,0.72,0.209612076329595,0.687811997421212,0.00546848095472807,1.8936253337728,0.100763893291189,-0.25384401814897,0.123125491422541,1.07549332139471
-0.0180,-0.0097,0.8643,26.0171,0.1111,1.8599,0.1071,1,1,0.24,-0.093777857662314,-0.145983569520535,0.0157509034009218,-1.60144163125265,-0.0383776296290695,0.0702227192901551,-0.0673629307588118,-1.42505329093624
0.0590,0.0259,1.2788,29.7308,0.1465,1.1302,0.1061,3,1,0.53,-0.0420431342315107,-0.0370691575878,0.0358147216358162,0.322205939836912,-0.0275856416122099,-0.249657279319771,-0.0675703449257955,0.0981181533135636
0.0281,0.0129,1.1759,29.7157,-0.0150,1.2802,2.6377,3,2,0.56,-0.0628095583322563,-0.0768247556442371,0.0308349523356893,0.314368862895241,-0.0769038664204394,-0.183896983573196,0.460343858573067,0.241977861087968
1.4548,0.5990,1.4287,28.3299,0.0763,2.3936,2.3667,3,1,0.52,0.89540106886748,1.7183028268579,0.0430716207879696,-0.403435903360996,-0.0490199834034769,0.304228539694486,0.40384729000496,0.0133258750556584
-0.0802,-0.0341,1.3479,28.2333,0.0367,1.3032,-0.0204,3,2,0.65,-0.135532339756213,-0.220961769861181,0.0391626446920695,-0.453467843995222,-0.0610976044014056,-0.173818122245104,-0.0939371545879011,0.724539232259296
0.1195,0.0590,1.0269,28.9093,0.0764,0.7147,0.1120,3,2,0.38,-0.00143040249243921,0.0641881668918464,0.0236221048026972,-0.10331677712153,-0.0489894458029765,-0.431830834616652,-0.0663258923534803,-0.679276198639537
0.1657,0.0825,1.0088,30.6238,0.1853,1.3659,0.1268,1,1,0.72,0.0295983424446387,0.136256674000318,0.0227459132567431,0.784743694353296,-0.0157248375778344,-0.146330318623035,-0.0632367694331443,1.08870687294976
0.0698,0.0328,1.1267,30.6948,0.0736,1.2705,0.1517,2,1,0.67,-0.0347829452105191,-0.0158130828180255,0.0284537444823478,0.821541179213585,-0.049832283576789,-0.188149482698141,-0.058060416804145,0.816616628223361
0.0911,0.0515,0.7699,30.5587,-0.1273,1.1183,0.1846,4,2,0.63,-0.0204842010609435,0.0413087895820171,0.0111816371013303,0.751012666564697,-0.111191484262347,-0.254869878762616,-0.0511917877460263,0.618591078323082
0.1005,0.0483,1.0806,30.7884,0.2583,1.2213,0.1987,4,3,0.90,-0.0142247226450655,0.0314770892922511,0.0262226025843907,0.870003632529023,0.00654623446714504,-0.209736395781883,-0.0482502719101802,2.02469346413437
0.1885,0.0912,1.0667,30.9338,0.1565,1.5498,0.3498,4,2,0.81,0.0448776486636543,0.162872709987255,0.0255516625387043,0.945313124700158,-0.0245257740420646,-0.0656994279983004,-0.0167478893312093,1.51418570140328
0.0860,0.0419,1.0503,28.0813,0.2957,1.1880,0.1067,4,3,0.45,-0.0239631815538887,0.0119974588115931,0.0247548607239859,-0.532201201241336,0.0179734045744141,-0.22432641339819,-0.0674270046475461,-0.328322418051732
0.2614,0.0752,2.4769,27.1831,0.2795,0.9237,0.2930,3,2,0.36,0.0938856035999871,0.113897978637299,0.0938152133918872,-0.997473903956797,0.0130232595332909,-0.340174134405074,-0.0285797288291835,-0.767014643786488
0.0529,0.0357,0.4811,27.5965,0.1209,3.1515,0.0877,4,2,0.39,-0.0461332869732164,-0.00693086137244243,-0.00279724868459014,-0.783319172247364,-0.0353910523001253,0.636462705865336,-0.0713946285903912,-0.635407053202964
0.0968,0.0430,1.2480,29.6330,-0.0701,0.8154,0.1008,1,1,0.66,-0.016702992532897,0.0154278339905769,0.0343256800914213,0.271516161283591,-0.0937270305361383,-0.387648683914386,-0.0686639594354024,0.746903997487929
0.1176,0.0586,1.0070,29.6415,0.0085,0.8244,0.1566,4,3,0.41,-0.00272662495409637,0.0630242895989769,0.022661682688237,0.275908653845742,-0.0697153152626331,-0.383742522347039,-0.0570336071580368,-0.547668608056013
0.0514,0.0246,1.0954,26.5011,0.0371,0.8738,0.3737,3,2,0.48,-0.0471407137568878,-0.041203984812468,0.0269390465004195,-1.35074840598966,-0.060987669039604,-0.362067928868968,-0.0117533750955583,-0.152845373484023
0.1425,0.0419,2.4010,30.8880,0.0825,1.9851,0.6244,1,1,0.85,0.0140436729047529,0.0119668304617808,0.0901385974849694,0.921594700829766,-0.0471358134525991,0.125123798199113,0.0405294912059433,1.7388494009814
0.2212,0.0723,2.0583,30.9450,0.0586,2.5081,0.6953,1,1,0.36,0.0668865657975947,0.105138270590965,0.0735529208289038,0.951114529970925,-0.0544098698918067,0.354403645349124,0.0553038022727836,-0.810883943496867
0.2535,0.0946,1.6804,31.0568,0.1183,4.2059,0.7415,1,1,0.71,0.0885462416465289,0.173225092223831,0.0552589127000912,1.00903016598203,-0.0361911374332372,1.09873128084546,0.0649288609646271,1.01543915660973
-0.0452,-0.0243,0.8610,26.8196,-0.0797,1.5151,0.0152,3,2,0.47,-0.112039147160997,-0.190792845296011,0.0155921239384506,-1.18578130325451,-0.0966555864241316,-0.0809207444537744,-0.0865125554137545,-0.240583818630974
-0.0008,-0.0005,0.5586,29.8149,0.1510,0.8007,0.0286,4,2,0.67,-0.0822260305428823,-0.11795862944223,0.000951011613930558,0.365732018846062,-0.0262145033497396,-0.394123881035565,-0.0837194066576779,0.817263035473981
